date,open,high,low,close
2024-05-17,1.0,1.005,0.995372,0.999376
2024-05-21,0.99943,1.02,0.992527,1.0
2024-05-25,1.0,1.012,0.992298,0.998722
2024-05-29,0.999116,1.006,0.992817,0.999897
2024-06-02,1.0,1.005,0.995028,1.0
2024-06-06,1.0,1.007,0.993185,1.0
2024-06-10,0.999688,1.005,0.989131,1.0
2024-06-14,1.0,1.021,0.985841,1.0
2024-06-18,0.999544,1.011,0.991886,0.999462
2024-06-22,1.001,1.014,0.987079,0.998463
2024-06-26,0.998915,1.014,0.977321,1.0
2024-06-30,1.001,1.008,0.990075,0.99939
2024-07-04,0.999802,1.012,0.985974,1.001
2024-07-08,0.999659,1.01,0.978987,0.992842
2024-07-12,0.992566,1.013,0.974053,1.001
2024-07-16,1.0,1.011,0.992554,1.001
2024-07-20,1.001,1.012,0.988716,0.998759
2024-07-24,0.999206,1.009,0.986759,1.0
2024-07-28,1.0,1.024,0.987307,0.997983
2024-08-01,0.994561,1.012,0.988156,0.99952
2024-08-05,0.998859,1.012,0.982068,0.994099
2024-08-09,0.997438,1.043,0.959525,0.999231
2024-08-13,1.001,1.011,0.983645,0.999878
2024-08-17,1.0,1.012,0.988329,0.999431
2024-08-21,0.999167,1.017,0.992004,0.999681
2024-08-25,0.999218,1.013,0.988571,1.001
2024-08-29,1.0,1.008,0.976783,0.99939
2024-09-02,0.999443,1.008,0.986249,1.0
2024-09-06,0.999884,1.01,0.968358,1.001
2024-09-10,1.0,1.016,0.986234,1.002
2024-09-14,1.001,1.027,0.986827,1.003
2024-09-18,1.004,1.015,0.995292,1.0
2024-09-22,1.001,1.009,0.994695,1.001
2024-09-26,1.001,1.007,0.995904,0.999693
2024-09-30,0.999676,1.007,0.997184,0.99967
2024-10-04,0.999651,1.006,0.986823,0.99934
2024-10-08,0.999882,1.016,0.992135,0.993226
2024-10-12,0.991831,1.008,0.989648,1.0
2024-10-16,0.999783,1.016,0.995317,1.0
2024-10-20,1.001,1.007,0.99555,1.0
2024-10-24,0.999967,1.003,0.989535,1.001
2024-10-28,1.0,1.007,0.991481,1.0
2024-11-01,1.001,1.008,0.986142,0.998765
2024-11-05,0.99851,1.014,0.994414,1.001
2024-11-09,1.001,1.022,0.993545,0.999801
2024-11-13,0.999145,1.011,0.984638,0.998996
2024-11-17,0.997415,1.01,0.986465,0.999475
2024-11-21,0.999543,1.009,0.99242,1.002
2024-11-25,1.001,1.01,0.990222,1.001
2024-11-29,1.001,1.008,0.987221,0.999436
2024-12-03,0.999803,1.004,0.994068,1.001
2024-12-07,1.0,1.009,0.957527,1.0
2024-12-11,0.999003,1.006,0.992395,0.999748
2024-12-15,0.999323,1.004,0.995795,1.0
2024-12-19,1.0,1.006,0.986292,0.998075
2024-12-23,1.001,1.005,0.983118,0.998625
2024-12-27,0.999365,1.015,0.993238,1.001
2024-12-31,0.999875,1.012,0.989995,1.001
2025-01-04,0.99966,1.005,0.995849,0.99973
2025-01-08,1.001,1.006,0.994426,1.0
2025-01-12,0.999157,1.006,0.984812,0.999232
2025-01-16,1.0,1.013,0.983207,1.0
2025-01-20,1.001,1.011,0.982303,1.01
2025-01-24,1.008,1.014,0.983518,0.998939
2025-01-28,0.999731,1.005,0.99452,1.0
2025-02-01,1.0,1.008,0.995331,1.001
2025-02-05,0.999646,1.009,0.992235,0.999744
2025-02-09,1.0,1.003,0.99465,0.999735
2025-02-13,0.999864,1.005,0.995216,1.001
2025-02-17,0.99913,1.003,0.997246,1.001
2025-02-21,0.999363,1.004,0.99627,0.999505
2025-02-25,1.001,1.004,0.994044,0.997144
2025-03-01,1.001,1.009,0.985243,0.999592
2025-03-05,0.999239,1.01,0.987469,0.999293
2025-03-09,0.999341,1.01,0.982022,0.999802
2025-03-13,0.999906,1.01,0.993736,0.999114
2025-03-17,0.999561,1.003,0.994545,0.999859
2025-03-21,0.99988,1.004,0.996069,0.999938
2025-03-25,0.999747,1.003,0.997719,1.002
2025-03-29,0.999762,1.002,0.996968,1.0
2025-04-02,1.0,1.006,0.9963,0.999828
2025-04-06,0.999725,1.014,0.99167,1.002
2025-04-10,1.001,1.018,0.987096,0.999705
2025-04-14,1.0,1.005,0.995029,1.001
2025-04-18,1.001,1.003,0.998284,0.999927
2025-04-22,0.999997,1.0,0.999793,0.999894
2025-04-26,0.999931,1.0,0.99977,1.0
2025-04-30,0.999999,1.0,0.999756,0.999899
2025-05-04,0.999989,1.0,0.99981,0.999888
2025-05-08,0.999889,1.0,0.999773,0.999969
2025-05-12,0.9999,1.0,0.999717,1.0
2025-05-16,0.999973,1.0,0.999734,0.999902
